point_id,utm_easting,utm_northing,utm_zone,elevation,array,Ellipsoidal_Ht,Ortho_Ht,mic_type,notes
SBT-3-9-30,438614.2046,6108541.689,12,678.9676,SBT-3-9,656.0776,678.9676,ARU,
SBT-3-9-31,438469.9253,6108508.589,12,677.7126,SBT-3-9,654.8226,677.7126,ARU,
SBT-3-9-32,438496.5411,6108505.436,12,676.8151,SBT-3-9,653.9251,676.8151,EXTMIC,
SBT-3-9-33,438539.0152,6108511.397,12,682.89,SBT-3-9,660.0,682.89,ARU,"Adjusted coordinates (0,_1)"
SBT-3-9-34,438567.8036,6108513.79,12,676.7701,SBT-3-9,653.8801,676.7701,EXTMIC,
SBT-3-9-35,438608.8726,6108507.361,12,677.293,SBT-3-9,654.403,677.293,ARU,
SBT-3-9-36,438465.8911,6108479.245,12,678.1776,SBT-3-9,655.2876,678.1776,ARU,
SBT-3-9-37,438499.9374,6108478.862,12,682.0497,SBT-3-9,659.1597,682.0497,EXTMIC,
SBT-3-9-38,438533.1725,6108474.334,12,678.9835,SBT-3-9,656.0935,678.9835,ARU,
SBT-3-9-39,438567.9849,6108471.703,12,678.9263,SBT-3-9,656.0363,678.9263,EXTMIC,
SBT-3-9-40,438610.9142,6108476.776,12,678.4175,SBT-3-9,655.5275,678.4175,ARU,
SBT-3-9-41,438466.6753,6108434.809,12,678.9104,SBT-3-9,656.0204,678.9104,ARU,
SBT-3-9-42,438496.1376,6108438.501,12,682.9176,SBT-3-9,660.0276,682.9176,EXTMIC,
SBT-3-9-43,438535.4245,6108443.81,12,677.7549,SBT-3-9,654.8649,677.7549,ARU,
SBT-3-9-44,438567.6211,6108440.255,12,677.1313,SBT-3-9,654.2413,677.1313,EXTMIC,
SBT-3-9-45,438608.8042,6108440.135,12,678.731,SBT-3-9,655.841,678.731,ARU,
SBT-3-9-46,438467.8528,6108409.82,12,676.517,SBT-3-9,653.627,676.517,ARU,
SBT-3-9-47,438498.3555,6108415.439,12,676.2721,SBT-3-9,653.3821,676.2721,EXTMIC,
SBT-3-9-48,438540.0838,6108403.327,12,677.2015,SBT-3-9,654.3115,677.2015,ARU,
SBT-3-9-49,438568.2469,6108402.324,12,675.5742,SBT-3-9,652.6842,675.5742,EXTMIC,
SBT-3-9-50,438611.7241,6108403.46,12,676.1053,SBT-3-9,653.2153,676.1053,ARU,
SBT-3-15-1,451951.6,6097023.4,12,,SBT-3-15,594.4,,ARU,From datasheet (451961.6 -> 451951.6)
SBT-3-15-2,451984.7398,6097016.958,12,621.6341,SBT-3-15,598.4471,621.6341,ARU,
SBT-3-15-3,452020.5013,6097015.663,12,627.094,SBT-3-15,603.907,627.094,ARU,
SBT-3-15-4,452059.9531,6097017.128,12,624.3131,SBT-3-15,601.1261,624.3131,ARU,
SBT-3-15-5,452090.0297,6097010.736,12,621.6893,SBT-3-15,598.5023,621.6893,ARU,
SBT-3-15-6,451948.425,6096984.634,12,620.8145,SBT-3-15,597.6275,620.8145,EXTMIC,
SBT-3-15-7,451986.1061,6096982.998,12,625.8,SBT-3-15,602.613,625.8,EXTMIC,
SBT-3-15-8,452021.2105,6096985.497,12,631.4458,SBT-3-15,608.2588,631.4458,EXTMIC,
SBT-3-15-9,452058.0739,6096988.097,12,628.6818,SBT-3-15,605.4948,628.6818,EXTMIC,
SBT-3-15-10,452085.1892,6096982.494,12,620.827,SBT-3-15,597.64,620.827,EXTMIC,
SBT-3-15-11,451955.3088,6096958.138,12,629.9029,SBT-3-15,606.7159,629.9029,ARU,
SBT-3-15-12,451989.4918,6096949.753,12,629.8596,SBT-3-15,606.6726,629.8596,ARU,
SBT-3-15-13,452016.2986,6096948.995,12,631.481,SBT-3-15,608.294,631.481,ARU,
SBT-3-15-14,452057.7385,6096946.531,12,635.3202,SBT-3-15,612.1332,635.3202,ARU,
SBT-3-15-15,452091.4295,6096948.345,12,622.0426,SBT-3-15,598.8556,622.0426,ARU,
SBT-3-15-16,451958.6675,6096918.481,12,628.6514,SBT-3-15,605.4644,628.6514,EXTMIC,
SBT-3-15-17,451985.6815,6096910.646,12,629.745,SBT-3-15,606.558,629.745,EXTMIC,
SBT-3-15-18,452020.9234,6096916.123,12,631.0811,SBT-3-15,607.8941,631.0811,EXTMIC,
SBT-3-15-19,452058.8259,6096920.166,12,630.0912,SBT-3-15,606.9042,630.0912,EXTMIC,
SBT-3-15-20,452087.6813,6096918.038,12,622.4576,SBT-3-15,599.2706,622.4576,EXTMIC,
SBT-3-15-21,451957.8706,6096884.949,12,620.0633,SBT-3-15,596.8763,620.0633,ARU,
SBT-3-15-22,451987.8789,6096879.674,12,626.1859,SBT-3-15,602.9989,626.1859,ARU,
SBT-3-15-23,452027.1407,6096883.333,12,629.8753,SBT-3-15,606.6883,629.8753,ARU,
SBT-3-15-24,452054.0327,6096873.521,12,627.5912,SBT-3-15,604.4042,627.5912,ARU,
SBT-3-15-25,452093.618,6096878.016,12,620.4288,SBT-3-15,597.2418,620.4288,ARU,
SBT-3-15-26,451953.8589,6096848.241,12,617.2165,SBT-3-15,594.03,617.2165,EXTMIC,calculated 3D shift manually
SBT-3-15-27,451991.883,6096846.069,12,624.8262,SBT-3-15,601.639,624.8262,EXTMIC,calculated 3D shift manually
SBT-3-15-28,452021.7748,6096843.108,12,627.7938,SBT-3-15,604.607,627.7938,EXTMIC,calculated 3D shift manually
SBT-3-15-29,452060.1428,6096843.525,12,624.1011,SBT-3-15,600.914,624.1011,EXTMIC,calculated 3D shift manually
SBT-3-15-30,452095.5076,6096842.345,12,619.1197,SBT-3-15,595.933,619.1197,EXTMIC,calculated 3D shift manually
SBT-3-15-31,451960.1405,6096805.111,12,614.8858,SBT-3-15,591.699,614.8858,ARU,calculated 3D shift manually
SBT-3-15-32,451984.4978,6096811.143,12,620.0904,SBT-3-15,596.903,620.0904,ARU,calculated 3D shift manually
SBT-3-15-33,452022.4699,6096817.094,12,626.4497,SBT-3-15,603.263,626.4497,ARU,calculated 3D shift manually
SBT-3-15-34,452058.1935,6096812.604,12,622.9245,SBT-3-15,599.738,622.9245,ARU,calculated 3D shift manually
SBT-3-15-35,452092.1706,6096816.925,12,619.1433,SBT-3-15,595.956,619.1433,ARU,calculated 3D shift manually
SBT-3-15-36,451956.7092,6096774.285,12,614.0028,SBT-3-15,590.816,614.0028,EXTMIC,calculated 3D shift manually
